fourcat,year,dif_white,dif_hispa,dif_black,dif_asian,dif_amind,dif_pacis,dif_twora
"Public Nonselective",2011,-1.74909,-1.556891,2.659555,-.2470827,.0495843,.0658166,-.9249713
"Public Nonselective",2012,-1.379549,-1.555279,2.22768,-.2141762,.0466051,.0561972,-.5325155
"Public Nonselective",2013,-1.291701,-1.08295,1.828207,-.0191783,-.0087857,.0637179,-.4755279
"Public Nonselective",2014,-2.211146,-.5013192,2.232198,.1934696,-.0295595,.0794671,-.4081015
"Public Nonselective",2015,-2.870752,.2517016,2.084804,.1897058,-.0750906,.0584829,-.2776092
"Public Nonselective",2016,-2.676333,.796301,1.731161,.221676,-.1095009,.0655067,-.1830068
"Public Nonselective",2017,-1.925453,1.179983,.8211214,-.1256375,-.1702978,.0498397,-.1000251
"Public Selective",2009,2.529978,-4.110143,-.5987948,2.450036,.1950215,,-.8526427
"Public Selective",2010,3.998678,-4.379261,.3070854,1.461437,-.1088111,.0246614,-1.298442
"Public Selective",2011,1.859882,-3.88658,.279663,1.468561,-.067027,.0272664,-.4591077
"Public Selective",2012,1.284921,-3.436895,-.1180913,1.497062,-.1502599,.0313974,-.17561
"Public Selective",2013,.9260076,-2.851513,-.5378801,1.580113,-.1460885,.0293553,-.0052921
"Public Selective",2014,.4008642,-2.327961,-.708629,1.60504,-.1949845,.0275918,.2131965
"Public Selective",2015,-.2607125,-1.761902,-.7125449,1.677345,-.1833928,.003269,.2714043
"Public Selective",2016,-.6687281,-1.19951,-.8139256,1.710062,-.2049857,-.0073102,.267316
"Public Selective",2017,-.9510008,-.8175268,-.7845584,1.716462,-.1963069,-.0160214,.3331936
