year,fourcat,dif_amind,dif_asian,dif_black,dif_hispa,dif_twora,dif_pacis,dif_white
2016,Private Selective,-0.064789,-1.371727,1.136754,-3.267477,-0.4779112,0.1272519,-2.962942
2017,Private Selective,-0.0538519,-1.380575,1.410289,-2.902527,-0.3643499,0.1471228,-3.210141
2009,Public More Selective,0.0452207,6.545607,-8.265454,-6.400299,-1.223755,,8.100032
2010,Public More Selective,-0.2916617,5.513892,-7.594022,-6.862219,-1.379898,0.003986,9.941823
2011,Public More Selective,-0.2550329,5.327802,-7.735575,-6.412497,-0.5173459,0.0145176,7.733387
2012,Public More Selective,-0.3270045,5.23451,-8.104396,-6.204454,-0.105321,0.0146403,7.248363
2013,Public More Selective,-0.3636391,5.272413,-8.39356,-5.94961,0.1388699,0.020735,6.505143
2014,Public More Selective,-0.3873149,5.385104,-8.561932,-5.724436,0.2339887,0.0104264,5.939982
2015,Public More Selective,-0.3852277,5.437047,-8.573774,-5.521353,0.2206693,0.0048508,5.328707
2016,Public More Selective,-0.3901664,5.581182,-8.532104,-5.269047,0.192454,-0.0011091,4.92049
2017,Public More Selective,-0.3957646,5.611223,-8.4753,-5.124918,0.2848531,-0.0141105,4.710614
2009,Public Non-Selective,0.2536503,0.6340253,2.566757,-1.589227,-1.421852,,-2.990496
2010,Public Non-Selective,-0.0202483,-0.2449333,2.721451,-2.284947,-1.705812,0.0076989,-0.8098499
2011,Public Non-Selective,0.0492047,-0.2443894,2.649785,-1.573559,-0.9273059,0.0661006,-1.747148
2012,Public Non-Selective,0.0463142,-0.2069263,2.226791,-1.566817,-0.5344186,0.0566572,-1.376286
2013,Public Non-Selective,-0.0080567,-0.0244489,1.855067,-1.113162,-0.4696036,0.0661425,-1.274632
2014,Public Non-Selective,-0.0288693,0.1882277,2.246001,-0.5332875,-0.4043659,0.0813513,-2.177853
2015,Public Non-Selective,-0.074005,0.1863685,2.088537,0.2184384,-0.2739422,0.060535,-2.828995
2016,Public Non-Selective,-0.1087201,0.2174804,1.725477,0.7497105,-0.1737994,0.0671905,-2.617545
2017,Public Non-Selective,-0.1693249,-0.1276062,0.8251768,1.13014,-0.1006582,0.0511588,-1.863969
2009,Public Selective,0.1950215,2.450036,-0.5987948,-4.110143,-0.8526427,,2.529978
2010,Public Selective,-0.1088111,1.461437,0.3070854,-4.379261,-1.298442,0.0246614,3.998678
2011,Public Selective,-0.067027,1.468561,0.279663,-3.88658,-0.4591077,0.0272664,1.859882
2012,Public Selective,-0.1502599,1.497062,-0.1180913,-3.436895,-0.17561,0.0313974,1.284921
2013,Public Selective,-0.1460885,1.580113,-0.5378801,-2.851513,-0.0052921,0.0293553,0.9260076
2014,Public Selective,-0.1949845,1.60504,-0.708629,-2.327961,0.2131965,0.0275918,0.4008642
2015,Public Selective,-0.1833928,1.677345,-0.7125449,-1.761902,0.2714043,0.003269,-0.2607125
2016,Public Selective,-0.2049857,1.710062,-0.8139256,-1.19951,0.267316,-0.0073102,-0.6687281
2017,Public Selective,-0.1963069,1.716462,-0.7845584,-0.8175268,0.3331936,-0.0160214,-0.9510008
