fourcat,year,dif_amind,dif_asian,dif_black,dif_hispa,dif_multi,dif_pacis,dif_white
Private Selective,2015,-0.0752288,-1.541479,0.5569212,-4.306523,-0.5305211,0.1091093,-1.437813
Private Selective,2016,-0.0770504,-1.555733,0.4485696,-3.875071,-0.5190284,0.1251741,-1.145655
Private Selective,2017,-0.0716578,-1.607328,0.6613503,-3.645916,-0.4179069,0.1419181,-1.067382
Public More Selective,2009,-0.1564409,7.546364,-6.866322,-8.550042,-1.757332,,8.700099
Public More Selective,2010,-0.4411588,5.596304,-8.106688,-8.002449,-1.403214,0.0103793,11.90401
Public More Selective,2011,-0.3939419,5.413318,-8.276096,-7.52152,-0.5076495,0.0195326,9.671452
Public More Selective,2012,-0.4804971,5.333797,-8.591614,-7.282371,-0.095653,0.0191566,9.049664
Public More Selective,2013,-0.5001434,5.367976,-8.865019,-7.050187,0.1451011,0.0223868,8.297694
Public More Selective,2014,-0.5260316,5.486682,-9.015295,-6.840997,0.2461988,0.0138734,7.723808
Public More Selective,2015,-0.534932,5.541303,-9.025824,-6.625914,0.2361629,0.0090417,7.095741
Public More Selective,2016,-0.5351729,5.700153,-8.94935,-6.374414,0.204905,0.0034412,6.628891
Public More Selective,2017,-0.5379573,5.738416,-8.873857,-6.237027,0.2866884,-0.0076915,6.400963
Public Nonselective,2009,0.2542748,0.6271811,2.568944,-1.580701,-1.420076,,-2.985834
Public Nonselective,2010,-0.0196868,-0.2491715,2.730054,-2.268417,-1.703837,0.0073267,-0.8036349
Public Nonselective,2011,0.0495843,-0.2470827,2.659555,-1.556891,-0.9249713,0.0658166,-1.74909
Public Nonselective,2012,0.0466051,-0.2141762,2.22768,-1.555279,-0.5325155,0.0561972,-1.379549
Public Nonselective,2013,-0.0087857,-0.0191783,1.828207,-1.08295,-0.4755279,0.0637179,-1.291701
Public Nonselective,2014,-0.0295595,0.1934696,2.232198,-0.5013192,-0.4081015,0.0794671,-2.211146
Public Nonselective,2015,-0.0750906,0.1897058,2.084804,0.2517016,-0.2776092,0.0584829,-2.870752
Public Nonselective,2016,-0.1095009,0.221676,1.731161,0.796301,-0.1830068,0.0655067,-2.676333
Public Nonselective,2017,-0.1702978,-0.1256375,0.8211214,1.179983,-0.1000251,0.0498397,-1.925453
Public Selective,2009,0.1950215,2.450036,-0.5987948,-4.110143,-0.8526427,,2.529978
Public Selective,2010,-0.1088111,1.461437,0.3070854,-4.379261,-1.298442,0.0246614,3.998678
Public Selective,2011,-0.067027,1.468561,0.279663,-3.88658,-0.4591077,0.0272664,1.859882
Public Selective,2012,-0.1502599,1.497062,-0.1180913,-3.436895,-0.17561,0.0313974,1.284921
Public Selective,2013,-0.1460885,1.580113,-0.5378801,-2.851513,-0.0052921,0.0293553,0.9260076
Public Selective,2014,-0.1949845,1.60504,-0.708629,-2.327961,0.2131965,0.0275918,0.4008642
Public Selective,2015,-0.1833928,1.677345,-0.7125449,-1.761902,0.2714043,0.003269,-0.2607125
Public Selective,2016,-0.2049857,1.710062,-0.8139256,-1.19951,0.267316,-0.0073102,-0.6687281
Public Selective,2017,-0.1963069,1.716462,-0.7845584,-0.8175268,0.3331936,-0.0160214,-0.9510008
